,date,euro_to_usd,japanese_yen_to_usd,uk_pound_to_usd,australian_dollar_to_usd,swiss_franc_to_usd
2183,2012-04-02,1.3319,0.012048192771084338,1.6040000000000003,1.0391,1.1077877478675087
2184,2012-04-03,1.3315,0.012217470983506415,1.6017000000000001,1.0401,1.108524553818867
2185,2012-04-04,1.3142,0.012070006035003019,1.5873,1.0283,1.0939722131057872
2186,2012-04-05,1.3068,0.0121580547112462,1.5823,1.0304,1.088020890001088
2187,2012-04-06,1.3083333333333333,0.012156576707999026,1.58505,1.0308666666666666,1.0878631200696034
2188,2012-04-09,1.3098666666666665,0.012272950417280314,1.5878,1.0313333333333334,1.0877053501381186
2189,2012-04-10,1.3114,0.012229423994129877,1.5821,1.0318,1.0875475802066341
2190,2012-04-11,1.3131,0.012385434728758981,1.5927000000000002,1.0289,1.094570928196147
2191,2012-04-12,1.3153,0.012345679012345678,1.5959,1.0379,1.0930156301235108
2192,2012-04-13,1.3148,0.012348728081007655,1.5927000000000002,1.0396,1.0954102311315588
2193,2012-04-16,1.3024,0.012422360248447204,1.5836,1.0331,1.0837758751490192
2194,2012-04-17,1.3132,0.012434717731907486,1.5954,1.0318,1.0934937124111537
2195,2012-04-18,1.3093,0.012288031457360531,1.5983,1.0402,1.0879025239338556
2196,2012-04-19,1.3086,0.012269938650306749,1.6031,1.0354,1.0913456291607553
2197,2012-04-20,1.3192,0.012250398137939484,1.6107999999999998,1.0336,1.0978153474585575
2198,2012-04-23,1.3131,0.012300123001230012,1.6085000000000003,1.0339,1.0931351114997814
2199,2012-04-24,1.3161,0.012322858903265557,1.615,1.0262,1.095290251916758
2200,2012-04-25,1.3206,0.012280486307257766,1.6098,1.0321500000000001,1.0996261271167802
2201,2012-04-26,1.3215,0.012322858903265557,1.6184,1.0381,1.0997470581766193
2202,2012-04-27,1.3229,0.012322858903265557,1.622,1.0369,1.1012003083360864
2203,2012-04-30,1.3214,0.012322858903265557,1.6261,1.0453,1.0998680158380993
2204,2012-05-01,1.31725,0.012523481527864748,1.6208999999999998,1.0339,1.0966210842365656
2205,2012-05-02,1.3131,0.012461059190031152,1.6177,1.0342,1.0933741526350318
2206,2012-05-03,1.3123,0.012484482233621436,1.6182000000000003,1.0305,1.0931351114997814
2207,2012-05-04,1.3132,0.012507905277211722,1.6183,1.0267,1.0930156301235108
2208,2012-05-07,1.3033,0.012531328320802006,1.6163,1.0146,1.085304970696766
2209,2012-05-08,1.3025,0.0125,1.6143,1.0192,1.0841283607979184
2210,2012-05-09,1.295,0.012520345561537497,1.6127,1.0074,1.0801468999783972
2211,2012-05-10,1.2961,0.012547051442910916,1.6119000000000003,1.0105,1.0775862068965516
2212,2012-05-11,1.2944,0.012523481527864748,1.6095,1.0053,1.077121930202499
2213,2012-05-14,1.2863,0.012495314257153568,1.6062000000000003,1.0013,1.0719262514738988
2214,2012-05-15,1.2843,0.012520345561537497,1.6047,0.9995000000000002,1.0699764605178685
2215,2012-05-16,1.2738,0.012440905697934811,1.5913,0.9915000000000002,1.0586491636671607
2216,2012-05-17,1.2682,0.012453300124533002,1.5855000000000001,0.9958,1.05753079353863
2217,2012-05-18,1.2721,0.012594458438287152,1.5789,0.9818,1.0564124234100993
2218,2012-05-21,1.275,0.012634238787113075,1.5813,0.9854,1.0633772862611655
2219,2012-05-22,1.2768,0.012596044841919637,1.5769,0.9924999999999999,1.0619093129446746
2220,2012-05-23,1.2659,0.01257071024512885,1.5726,0.9776999999999999,1.0542962572482868
2221,2012-05-24,1.2557,0.012586532410320955,1.5675,0.9758,1.0476689366160292
2222,2012-05-25,1.2546,0.01255020080321285,1.568,0.9744,1.0463534581981793
2223,2012-05-29,1.2523,0.01257387149503332,1.5683,0.9864,1.0431879824744419
2224,2012-05-30,1.2438,0.012584948401711553,1.5579,0.9796,1.0351966873706004
2225,2012-05-31,1.2403,0.012690355329949238,1.5504,0.9726999999999999,1.0319917440660475
2226,2012-06-01,1.2322,0.01271617497456765,1.5321,0.9699999999999999,1.0263779123473262
2227,2012-06-04,1.2437,0.01279263144428809,1.5376,0.9675000000000001,1.0357327809425168
2228,2012-06-05,1.2429,0.012763241863433313,1.5431,0.9794000000000002,1.0357327809425168
2229,2012-06-06,1.2485,0.012690355329949238,1.5486,0.9829,1.0409076714895389
2230,2012-06-07,1.2595,0.012602394454946441,1.5497,0.9962,1.0464629552113855
2231,2012-06-08,1.2468,0.012554927809165096,1.5424,0.9852,1.0376673238559717
2232,2012-06-11,1.2544,0.01255808112520407,1.5543,0.9874999999999999,1.0469011725293131
2233,2012-06-12,1.2492,0.012619888944977285,1.5528,0.9897999999999999,1.0417751849150954
2234,2012-06-13,1.2534,0.012556504269211451,1.5563,0.9945999999999999,1.0436234606553956
2235,2012-06-14,1.2551,0.012589701624071508,1.5527,0.9956,1.0472300764477955
2236,2012-06-15,1.2596,0.012581781580271767,1.5537,1.0015,1.050420168067227
2237,2012-06-18,1.2618,0.012615112905260503,1.5647,1.012,1.0513036164844407
2238,2012-06-19,1.2619,0.012661433274246644,1.5663,1.0131,1.0501995379122033
2239,2012-06-20,1.2704,0.012677484787018257,1.573,1.019,1.0566356720202874
2240,2012-06-21,1.267,0.012559658377292136,1.5705,1.0164,1.055297593921486
2241,2012-06-22,1.2539,0.012434717731907486,1.5595,1.0057,1.0454783063251438
2242,2012-06-25,1.2488,0.012453300124533002,1.5543,1.0031,1.0393929944912172
2243,2012-06-26,1.2475,0.012542330364981813,1.5637999999999999,1.0034,1.0406910188365075
2244,2012-06-27,1.2478,0.012594458438287152,1.5621,1.0065,1.0404744563520967
2245,2012-06-28,1.2418,0.012583364791745313,1.5543,1.0118,1.03498240529911
2246,2012-06-29,1.259,0.012610340479192938,1.5603,1.0191,1.0466820180029306
2247,2012-07-02,1.2593,0.012537612838515545,1.567,1.0227,1.0508617065994115
2248,2012-07-03,1.2575,0.012575452716297788,1.5676,1.027,1.0473397570171763
2249,2012-07-05,1.2426,0.012510947078693857,1.559,1.0267,1.041124414367517
2250,2012-07-06,1.2377,0.012504689258471927,1.5542000000000002,1.026,1.0307153164296021
2251,2012-07-09,1.2293,0.012554927809165096,1.549,1.019,1.024380249948781
2252,2012-07-10,1.2285,0.012577034335303735,1.5528,1.0176,1.0254306808859721
2253,2012-07-11,1.226,0.012602394454946441,1.5562,1.0214,1.0234367004400777
2254,2012-07-12,1.2178,0.012559658377292136,1.5452,1.017,1.0150223304912709
2255,2012-07-13,1.2185,0.012597631645250693,1.5447,1.0163,1.0163634515702815
2256,2012-07-16,1.2177,0.012636754724894329,1.5531,1.0234,1.0150223304912709
2257,2012-07-17,1.2281,0.012675877804537964,1.5632,1.0294,1.0230179028132993
2258,2012-07-18,1.2234,0.012645422357106728,1.5604000000000002,1.03,1.019160211985324
2259,2012-07-19,1.2287,0.012724265173686218,1.5685,1.039,1.024380249948781
2260,2012-07-20,1.22,0.012698412698412698,1.57,1.0403,1.0186411327289395
2261,2012-07-23,1.2105,0.012755102040816325,1.5543,1.0314,1.0094891984655763
2262,2012-07-24,1.2089,0.012779552715654952,1.5509000000000002,1.0304,1.0067451927917044
2263,2012-07-25,1.2134,0.012800819252432155,1.5502,1.022,1.0067451927917044
2264,2012-07-26,1.226,0.012804097311139566,1.5579,1.0331,1.0097950116126426
2265,2012-07-27,1.2317,0.012776287210936502,1.5741,1.0426,1.0232272587741738
2266,2012-07-30,1.2246,0.012759984688018373,1.5707999999999998,1.0464,1.0215548064153641
2267,2012-07-31,1.2284,0.012795905310300703,1.5686,1.0526,1.022390348635109
2268,2012-08-01,1.2298,0.012822156686754713,1.5629,1.0507,1.0215554886995082
2269,2012-08-02,1.2346,0.012746972594008922,1.555,1.0483,1.0207206287639072
2270,2012-08-03,1.2245,0.01278772378516624,1.5592,1.0479,1.0230179028132993
2271,2012-08-06,1.2379,0.012732365673542143,1.5551,1.0479,1.0290183165260343
2272,2012-08-07,1.2436,0.01277791975466394,1.5655,1.058,1.0331645831180907
2273,2012-08-08,1.2336,0.012730744748567792,1.5650999999999997,1.0551,1.02880658436214
2274,2012-08-09,1.2301,0.012748597654258032,1.5641,1.0593,1.025220422390814
